PROC     COMM             PID    FD     ERR    FNAME           
PROC:    bash             46063  0      0      /root/.bash_history
PROC:    bash             46232  0      0      /usr/bin/cat    
PROC:    bash             46232  0      0      /usr/bin/cat    
PROC:    bash             46232  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46232  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    cat              46232  0      0      /etc/ld.so.cache
PROC:    cat              46232  0      0      /etc/ld.so.cache
PROC:    cat              46232  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    cat              46232  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
[ERROR] pid: 46232 file/mount error!
PROC:    cat              46232  -1     1      /etc/shadow     
PROC:    bash             45834  0      0      /root/.bash_history
PROC:    bash             45834  0      0      /root/.bash_history
PROC:    bash             45834  0      0      /root/.bash_history
PROC:    bash             45834  0      0      /root/.bash_history
PROC:    containerd-shim  46284  0      0      /usr/bin/runc   
PROC:    containerd-shim  46284  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    runc             46284  0      0      /etc/ld.so.cache
PROC:    runc             46284  0      0      /usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.4
PROC:    runc             46284  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    runc             46284  0      0      /sys/kernel/mm/transparent_hugepage/hpage_pmd_size
PROC:    runc             46284  0      0      /usr/bin/runc   
PROC:    runc             46284  0      0      /proc/sys/kernel/cap_last_cap
PROC:    runc             46284  0      0      /run/containerd/io.containerd.runtime.v2.task/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/log.json
PROC:    runc             46284  0      0      /proc/cpuinfo   
PROC:    runc             46284  0      0      /proc/46284/mountinfo
PROC:    runc             46284  0      0      /run/docker/runtime-runc/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/state.json
PROC:    runc             46284  0      0      /run/docker/runtime-runc/moby
PROC:    runc             46284  0      0      /run/docker/runtime-runc/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836
PROC     COMM             PID    FD     ERR    FNAME           
PROC:    bash             46640  0      0      /usr/bin/mkdir  
PROC:    bash             46640  0      0      /usr/bin/mkdir  
PROC:    bash             46640  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46640  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    mkdir            46640  0      0      /etc/ld.so.cache
PROC:    mkdir            46640  0      0      /etc/ld.so.cache
PROC:    mkdir            46640  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mkdir            46640  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mkdir            46640  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mkdir            46640  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mkdir            46640  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mkdir            46640  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mkdir            46640  0      0      /proc/filesystems
PROC:    bash             46641  0      0      /usr/bin/mount  
PROC:    bash             46641  0      0      /usr/bin/mount  
PROC:    bash             46641  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46641  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    mount            46641  0      0      /etc/ld.so.cache
PROC:    mount            46641  0      0      /etc/ld.so.cache
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mount            46641  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mount            46641  0      0      /proc/filesystems
PROC:    mount            46641  0      0      cgroup          
PROC     COMM             PID    FD     ERR    FNAME           
PROC:    bash             46958  0      0      /usr/bin/mkdir  
PROC:    bash             46958  0      0      /usr/bin/mkdir  
PROC:    bash             46958  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46958  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    mkdir            46958  0      0      /etc/ld.so.cache
PROC:    mkdir            46958  0      0      /etc/ld.so.cache
PROC:    mkdir            46958  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mkdir            46958  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mkdir            46958  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mkdir            46958  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mkdir            46958  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mkdir            46958  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mkdir            46958  0      0      /proc/filesystems
PROC:    bash             46959  0      0      /usr/bin/mount  
PROC:    bash             46959  0      0      /usr/bin/mount  
PROC:    bash             46959  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46959  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    mount            46959  0      0      /etc/ld.so.cache
PROC:    mount            46959  0      0      /etc/ld.so.cache
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mount            46959  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mount            46959  0      0      /proc/filesystems
PROC:    mount            46959  0      0      cgroup          
PROC:    bash             47018  0      0      /usr/bin/unshare
PROC:    bash             47018  0      0      /usr/bin/unshare
PROC:    bash             47018  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             47018  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    unshare          47018  0      0      /etc/ld.so.cache
PROC:    unshare          47018  0      0      /etc/ld.so.cache
PROC:    unshare          47018  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    unshare          47018  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    unshare          47018  0      0      /proc/11/uid_map
PROC:    unshare          47018  0      0      /proc/11/setgroups
PROC:    unshare          47018  0      0      /proc/11/gid_map
PROC:    unshare          47018  0      0      none            
PROC:    unshare          47018  0      0      /usr/bin/bash   
PROC:    unshare          47018  0      0      /usr/bin/bash   
PROC:    unshare          47018  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    unshare          47018  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             47089  0      0      /usr/bin/ls     
PROC:    bash             47089  0      0      /usr/bin/ls     
PROC:    bash             47089  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             47089  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    ls               47089  0      0      /etc/ld.so.cache
PROC:    ls               47089  0      0      /etc/ld.so.cache
PROC:    ls               47089  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    ls               47089  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    ls               47089  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    ls               47089  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
